"","hh_id","plot_id"
"1",126976,647012
"2",872818,745005
"3",965954,635980
"4",656603,844428
"5",529507,457295
"6",319821,513004
"7",359000,637496
"8",539766,788962
"9",163386,760643
"10",752509,169847
"11",966330,899239
"12",312144,147892
"13",231921,911982
"14",819424,971078
"15",343966,669832
"16",989604,850377
"17",690123,935541
"18",148434,488589
"19",601197,831773
"20",701245,454942
"21",866138,116809
"22",307795,984155
"23",404340,500355
"24",650170,229467
"25",214489,628521
"26",271463,467651
"27",931416,491794
"28",510023,933434
"29",217532,947264
"30",911722,864898
"31",493788,228303
"32",181455,850042
"33",987139,660169
"34",668964,441628
"35",619955,787382
"36",689215,277775
"37",706764,517282
"38",890132,737870
"39",585854,203436
"40",486894,651699
"41",775358,933023
"42",216595,976571
"43",402800,679360
"44",837515,668058
"45",349892,918584
"46",448625,465649
"47",884107,394224
"48",558297,723409
"49",589045,602406
"50",612697,178658
"51",225120,673671
"52",887695,983654
"53",142695,975145
"54",649397,118389
"55",438040,254463
"56",721244,415918
"57",335549,233735
"58",385705,406454
"59",419515,929208
"60",631911,441644
"61",533763,625498
"62",138745,287346
"63",427202,138641
"64",381285,957140
"65",448116,753114
"66",226246,486041
"67",745946,937106
"68",334201,141036
"69",334650,829429
"70",875088,619920
"71",535288,827488
"72",714058,109225
"73",398708,838324
"74",964670,795036
"75",345462,923882
"76",867861,447588
"77",139502,235530
"78",332608,472852
"79",614229,636466
"80",544785,995178
"81",549334,402281
"82",675971,374447
"83",543646,683690
"84",357464,969688
"85",676034,785215
"86",634148,328772
"87",850860,249565
"88",321754,933256
"89",456047,561912
"90",622648,134272
"91",220414,567071
"92",222792,782414
"93",896364,984795
"94",110647,314976
"95",217722,581537
"96",222513,590751
"97",526517,123317
"98",375960,433899
"99",284231,675851
"100",755917,315725
"101",366675,538865
"102",157938,308975
"103",498777,890876
"104",309682,787458
"105",989594,860563
"106",717560,663280
"107",139385,829380
"108",145639,368161
"109",865412,225186
"110",242225,573027
"111",967425,152031
"112",164657,972482
"113",163874,176087
"114",937275,769088
"115",143951,960771
"116",376753,522166
"117",429874,342562
"118",377337,765618
"119",555845,728744
"120",466947,219738
"121",964442,992759
"122",545921,323329
"123",994734,995809
"124",144961,462000
"125",620948,509250
"126",780064,918400
"127",572560,589278
"128",884029,628750
"129",936874,240606
"130",809829,464022
"131",216540,680041
"132",252279,435456
"133",803744,706257
"134",611510,419706
"135",741221,939867
"136",793072,481153
"137",963316,785869
"138",289643,266781
"139",355423,712851
"140",826953,957137
"141",473173,576343
"142",721580,482729
"143",867923,159138
"144",538237,134571
"145",647504,966638
"146",813335,201232
"147",115557,846290
"148",796113,283853
"149",564744,139017
"150",227357,748262
"151",734484,907804
"152",702788,522123
"153",762536,889186
"154",882982,520492
"155",452171,440959
"156",620450,830686
"157",667003,412718
"158",902117,237739
"159",773214,651807
"160",471328,273295
"161",750133,146913
"162",701154,110013
"163",385723,763854
"164",307059,888688
"165",334008,789673
"166",357663,439566
"167",681688,629476
"168",219545,656972
"169",793058,841784
"170",832209,846777
"171",759559,410991
"172",800438,771189
"173",930250,398270
"174",714398,358854
"175",577650,795510
"176",503465,775525
"177",173462,703375
"178",215713,192639
"179",239918,112249
"180",624190,112896
"181",295648,492918
"182",961194,426427
"183",789214,580572
"184",718249,975521
"185",778690,122366
"186",870820,821738
"187",398394,483160
"188",388409,906229
"189",803899,769538
"190",159973,554099
"191",917037,147886
"192",334040,474558
"193",833532,588274
"194",202597,375443
"195",740269,340041
"196",959904,516814
"197",888358,221712
"198",602080,924963
"199",308164,805569
"200",521262,451260
"201",246405,590805
"202",582086,509266
"203",879514,950565
"204",835801,527680
"205",533736,354093
"206",479018,544587
"207",551472,895070
"208",648468,346182
"209",321496,768168
"210",610960,489407
"211",245987,786315
"212",699189,792449
"213",252503,573015
"214",621311,269581
"215",351266,975502
"216",265690,829659
"217",176617,215443
"218",115530,947820
"219",565308,884907
"220",885952,347998
"221",401823,848767
"222",949930,207591
"223",617384,955721
"224",935466,165671
"225",476136,680322
"226",823917,133599
"227",619783,939803
"228",694509,499472
"229",776353,253209
"230",727008,772446
"231",609182,243868
"232",685605,588029
"233",390900,545699
"234",379245,661376
"235",567315,593520
"236",746885,260554
"237",965667,342104
"238",235606,857781
"239",590962,156704
"240",486989,728820
"241",713233,263889
"242",731121,474852
"243",296689,691518
"244",582115,399070
"245",362878,563825
"246",479401,793962
"247",558728,800111
"248",936015,777080
"249",586558,654923
"250",816080,811049
"251",544187,815038
"252",185545,129083
"253",914453,167155
"254",774852,364766
"255",158598,137767
"256",791524,137331
"257",346869,220940
"258",661549,599481
"259",554128,664369
"260",657746,814666
"261",653625,288450
"262",373402,148027
"263",183960,875439
"264",332354,856179
"265",911050,468715
"266",890396,633631
"267",612849,526626
"268",456150,797939
"269",924786,713014
"270",164032,663895
"271",427880,608842
"272",498734,425517
"273",542547,668893
"274",734366,994508
"275",247932,598453
"276",235807,662130
"277",944272,938882
"278",898963,589196
"279",516130,491775
"280",324083,758738
"281",390055,297969
"282",798303,428208
"283",870741,205054
"284",273739,903451
"285",285712,208690
"286",676857,127153
"287",481052,638147
"288",187175,279274
"289",431932,375747
"290",530170,407144
"291",629780,640773
"292",221532,482912
"293",236412,180627
"294",852450,105493
"295",882159,835958
"296",329062,354382
"297",617909,804177
"298",276763,567681
"299",612045,609686
"300",122992,781120
"301",168287,880676
"302",385928,737588
"303",828469,329536
"304",114621,552562
"305",351267,693064
"306",283979,143647
"307",578842,345733
"308",383191,453696
"309",447917,396948
"310",188097,968342
"311",164003,431548
"312",792928,652935
"313",263208,849954
"314",411180,724225
"315",478446,514726
"316",936328,756367
"317",789437,698349
"318",423781,885895
"319",955373,265076
"320",439330,884476
"321",925298,497237
"322",635517,711429
"323",228206,506631
"324",272224,837365
"325",614468,143876
"326",369022,834375
"327",111957,916232
"328",277150,856443
"329",308052,648320
"330",126938,204600
"331",749538,483614
"332",499730,687651
"333",926810,235202
"334",841724,842745
"335",119708,706765
